timestamp,latitude,longitude,GHI,DNI,DHI
2024-10-27,3.0,33.0,5.52,-999.0,-999.0
2024-10-28,3.0,33.0,-999.0,-999.0,-999.0
2024-10-29,3.0,33.0,6.12,-999.0,-999.0
2024-10-30,3.0,33.0,6.37,-999.0,-999.0
2024-10-31,3.0,33.0,5.91,-999.0,-999.0
2024-11-01,3.0,33.0,5.08,-999.0,-999.0
2024-11-02,3.0,33.0,5.91,-999.0,-999.0
2024-11-03,3.0,33.0,5.56,-999.0,-999.0
2024-11-04,3.0,33.0,5.67,-999.0,-999.0
2024-11-05,3.0,33.0,4.16,-999.0,-999.0
2024-11-06,3.0,33.0,5.95,-999.0,-999.0
2024-11-07,3.0,33.0,5.05,-999.0,-999.0
